group_name,project_name,branch_count,,,
jp-phpers,juanpi_v3,1946,,,
jp-phpers,shell,932,,,
jp-phpers,static,667,,,
system_dev,goods.juanpi.org,334,,,
jp-phpers,shell_php7,290,,,
pay,pay.juanpi.com,264,,,
system_dev,order.juanpi.org,201,,行标签,求和项:branch_count
b2c,m.juanpi.com ,181,,juanpi_v3,1946
system_dev,business.juanpi.org,181,,shell,932
api_phpgroup,mapi.juanpi.com,177,,static,667
api_phpgroup,api.juanpi.com,129,,goods.juanpi.org,334
system_dev,cs.juanpi.org,129,,shell_php7,290
api_phpgroup,mtrade.juanpi.com,121,,pay.juanpi.com,264
system_dev,837090d05d34a16mkt.juanpi.org,114,,order.juanpi.org,201
system_dev,b9603b9ece8b.juanpi.org,111,,business.juanpi.org,181
b2c,www.juanpi.com,110,,m.juanpi.com ,181
b2c,wx.juanpi.com,108,,mapi.juanpi.com,178
user_manage,7469a5f913d2.juanpi.org,105,,api.juanpi.com,129
bi-source,guanxingtai,97,,cs.juanpi.org,129
api_phpgroup,muser.juanpi.com,92,,mtrade.juanpi.com,121
finance,finance-cron,92,,837090d05d34a16mkt.juanpi.org,114
in.juanpi.com,in.juanpi.com,91,,b9603b9ece8b.juanpi.org,111
finance,settlement-cron,87,,www.juanpi.com,110
pay,pay-cron,79,,wx.juanpi.com,108
phpsdk,aftersale-service,77,,7469a5f913d2.juanpi.org,105
drp,drp.juanpi.com,75,,guanxingtai,97
pintuan,tuan.juanpi.com,75,,finance-cron,92
in.juanpi.com,in_juanpi_static,70,,muser.juanpi.com,92
phpsdk,WMSGate,65,,in.juanpi.com,91
b2c,pad.juanpi.com,64,,settlement-cron,87
finance,settlement,63,,pay-cron,79
pay,pay.juanpi.org,58,,aftersale-service,77
finance,bankroll,57,,tuan.juanpi.com,75
system_dev,scm.juanpi.org,53,,drp.juanpi.com,75
vendor-support,seller.juanpi.com,50,,in_juanpi_static,70
goods,goods-buy.juanpi.org,49,,WMSGate,65
finance,finance,44,,pad.juanpi.com,64
front,jp.juancdn.com,43,,settlement,63
javaProject,javaproject001,33,,pay.juanpi.org,58
pintuan,ptadmin.juanpi.org,33,,bankroll,57
im,im.juanpi.com,32,,scm.juanpi.org,53
phpsdk,customer-service,32,,seller.juanpi.com,50
phpsdk,order-service,32,,goods-buy.juanpi.org,49
im.v2,session-cluster,30,,finance,44
iOSTeam,juanpi,30,,jp.juancdn.com,43
im,RobotApi,29,,juanpi,40
logtech,WMS1.0,27,,javaproject001,33
system_dev,sapi.juanpi.com,27,,ptadmin.juanpi.org,33
frontend,juanpi-im,25,,im.juanpi.com,32
pintuan,wxpt.juanpi.com,25,,order-service,32
im,ReportShell,24,,customer-service,32
vendor-support,sh.juancdn.com,23,,session-cluster,30
bs.comm,spi,22,,RobotApi,29
in.juanpi.com,in_juanpi_php,21,,WMS1.0,27
pintuan,tuan.juancdn.com,21,,sapi.juanpi.com,27
finance,bankroll-cron,19,,juanpi-im,25
im.v2,dashboard,18,,wxpt.juanpi.com,25
phpsdk,Scm,17,,ReportShell,24
ia.sdk,juanpi-sdk-java,15,,sh.juancdn.com,23
IntelligentOffice,juanpi_oa,15,,spi,22
